stimulus_id,filename,sha256,bytes,channels,sample_width_bytes,sample_rate_hz,frames
572,id=572_genre=popular_c-id=331_e-id=23_ic_category_1.wav,bb7f8c75076896c08222cbe5bf1983484a8770d2d6b16aeb20ddcd03b084b7c3,1764124,2,2,44100,441020
573,id=573_genre=popular_c-id=200_e-id=54_ic_category_1.wav,e91b87a45ea6a7af1e13ce6fba81c3d6196c060364b75cc855dc5fc8c07bf3b8,1764124,2,2,44100,441020
574,id=574_genre=popular_c-id=694_e-id=12_ic_category_1.wav,52e9a55b558f20fe0fe1edd895df3a1adac2746cbcf86ca9774df036ad1c538c,1764124,2,2,44100,441020
575,id=575_genre=popular_c-id=340_e-id=14_ic_category_1.wav,5d49fd3fa74b6d4f167243e92899a28c2c03c8a058c62bd62ab956ba89466eb9,1764124,2,2,44100,441020
576,id=576_genre=popular_c-id=470_e-id=139_ic_category_1.wav,8bf275db86a29304b6483c3c7e07508d22ac8c9b34eade835c280300fc280bb8,1764124,2,2,44100,441020
577,id=577_genre=popular_c-id=84_e-id=59_ic_category_1.wav,208839eaf98a37c369e6046a72b77cad2cd8f0e93cf438f457506a8fe29cc0d8,1764124,2,2,44100,441020
578,id=578_genre=popular_c-id=171_e-id=67_ic_category_1.wav,607ad66b0b370e0b41fa021f53760cf8caebfe101ed1a3ee5ae6e7920cad3d50,1764124,2,2,44100,441020
579,id=579_genre=popular_c-id=226_e-id=103_ic_category_1.wav,0c5355741a4f44f6958270fe119e8840891f7859fd1eacb8e2daeb07cbcf4539,1764124,2,2,44100,441020
580,id=580_genre=popular_c-id=425_e-id=145_ic_category_1.wav,c7bc62d74b0d36f9755ede2883b7a5d10ef6d43c9f048f1d59c46eb9b8ed12f6,1764124,2,2,44100,441020
581,id=581_genre=popular_c-id=191_e-id=75_ic_category_1.wav,8047ba6e78e4f07446567597f96bfad0f12c31073114aefa81530a06bd5f7a10,1764124,2,2,44100,441020
582,id=582_genre=popular_c-id=316_e-id=98_ic_category_1.wav,936f1b891df1d0e458fdb67d481f830ad08ee0acfe2e3805a8ed239e183503a3,1764124,2,2,44100,441020
583,id=583_genre=popular_c-id=208_e-id=27_ic_category_1.wav,36af1c16d586dbc97522efce808c489974eb1da76aebd29251432c3e16cfced4,1764124,2,2,44100,441020
584,id=584_genre=popular_c-id=675_e-id=34_ic_category_1.wav,2db1d4f3cf916b09f5060b6940af4b401377a761002786048a6a9bf4d4076c63,1764124,2,2,44100,441020
